agreement_id,customer_id,scope,product_id,family,agreed_price,effective_start,effective_end,committed_units,approval_ref,status,superseded_by,prior_price,premium_pct
A0031,C004,family,,Cantilever Probe Cards,12363.71,2025-09-21,2027-01-17,315,PA-2025-0031,active,,11834.41,0.0447
A0032,C004,part,P0022,,10911.5,2024-07-07,2026-10-01,120,PA-2024-0032,active,,10331.45,0.0561
A0033,C004,part,P0099,,50724.16,2024-06-22,2027-08-04,33,PA-2024-0033,active,,47905.02,0.0588
A0034,C004,part,P0023,,10785.22,2024-04-13,2027-03-13,475,PA-2024-0034,active,,9942.61,0.0847
A0035,C004,part,P0098,,53232.81,2024-06-08,2025-10-11,66,PA-2024-0035,superseded,A0036,47547.34,0.1196
A0036,C004,part,P0098,,61834.54,2025-09-04,2027-05-16,32,PA-2025-0036,active,,53232.81,0.1616
A0037,C004,part,P0100,,51300.13,2024-06-02,2027-02-07,90,PA-2024-0037,active,,45046.68,0.1388
A0038,C005,part,P0049,,441.98,2024-06-24,2026-12-29,4788,PA-2024-0038,active,,357.82,0.2352
A0039,C005,part,P0058,,441.05,2024-02-26,2025-02-09,2091,PA-2024-0039,superseded,A0040,400.26,0.1019
A0040,C005,part,P0058,,466.76,2025-02-10,2026-04-23,2375,PA-2025-0040,superseded,A0041,441.05,0.0583
A0041,C005,part,P0058,,483.59,2026-04-24,2027-03-18,3893,PA-2026-0041,active,,466.76,0.0361
A0042,C005,part,P0020,,34161.93,2024-04-06,2026-12-14,39,PA-2024-0042,active,,29926.64,0.1415
A0043,C005,part,P0066,,7303.61,2024-07-19,2026-01-12,361,PA-2024-0043,superseded,A0044,6459.11,0.1307
A0044,C005,part,P0066,,7977.06,2026-01-13,2027-05-04,195,PA-2026-0044,active,,7303.61,0.0922
A0045,C005,part,P0073,,7171.73,2024-02-13,2027-01-05,336,PA-2024-0045,active,,6735.58,0.0648
A0046,C005,part,P0044,,370.35,2024-07-25,2027-08-03,3906,PA-2024-0046,active,,353.49,0.0477
A0047,C005,part,P0010,,32924.16,2024-03-18,2027-08-14,20,PA-2024-0047,active,,29127.19,0.1304
A0048,C005,part,P0017,,32793.9,2024-04-21,2026-04-20,114,PA-2024-0048,expired,,30536.32,0.0739
A0049,C006,family,,Thermal Control Units,47304.53,2024-02-15,2027-03-18,493,PA-2024-0049,active,,45645.8,0.0363
A0050,C006,part,P0016,,39028.63,2024-07-17,2025-09-26,78,PA-2024-0050,superseded,A0051,34983.25,0.1156
A0051,C006,part,P0016,,44097.69,2025-08-27,2026-11-05,66,PA-2025-0051,active,,39028.63,0.1299
A0052,C006,part,P0017,,36388.74,2024-03-05,2027-04-18,32,PA-2024-0052,active,,35197.11,0.0339
A0053,C006,part,P0014,,41557.16,2024-03-01,2027-07-28,92,PA-2024-0053,active,,36731.44,0.1314
A0054,C006,part,P0091,,52684.14,2024-04-29,2025-02-03,28,PA-2024-0054,superseded,A0055,49336.11,0.0679
A0055,C006,part,P0091,,58681.52,2025-02-04,2025-12-17,52,PA-2025-0055,superseded,A0056,52684.14,0.1138
A0056,C006,part,P0091,,61701.5,2025-12-01,2026-10-26,25,PA-2025-0056,active,,58681.52,0.0515
A0057,C006,part,P0011,,33799.06,2024-04-16,2025-03-10,13,PA-2024-0057,superseded,A0058,31613.33,0.0691
A0058,C006,part,P0011,,34670.99,2025-06-28,2025-10-27,8,PA-2025-0058,superseded,A0059,33799.06,0.0258
A0059,C006,part,P0011,,38825.58,2025-10-28,2026-09-20,50,PA-2025-0059,active,,34670.99,0.1198
A0060,C006,part,P0005,,36825.13,2024-03-26,2026-12-01,84,PA-2024-0060,active,,34141.64,0.0786
A0061,C006,part,P0089,,49321.99,2024-05-16,2027-03-20,88,PA-2024-0061,active,,45841.68,0.0759
A0062,C006,part,P0085,,46239.29,2024-06-20,2027-01-18,8,PA-2024-0062,active,,40296.74,0.1475
A0063,C006,part,P0020,,38620.92,2024-05-26,2026-02-14,26,PA-2024-0063,superseded,A0064,34494.37,0.1196
A0064,C006,part,P0020,,43697.19,2026-02-15,2027-06-16,68,PA-2026-0064,active,,38620.92,0.1314
A0065,C008,part,P0005,,35947.76,2024-03-03,2026-12-27,90,PA-2024-0065,active,,33601.46,0.0698
A0066,C008,part,P0104,,2172.97,2024-02-04,2027-07-24,385,PA-2024-0066,active,,1978.77,0.0981
A0067,C008,part,P0077,,9223.14,2024-07-30,2027-01-24,69,PA-2024-0067,active,,7165.27,0.2872
A0068,C008,part,P0019,,38496.05,2024-06-10,2026-03-22,46,PA-2024-0068,superseded,A0069,37169.6,0.0357
A0069,C008,part,P0019,,41518.33,2026-03-23,2027-08-17,54,PA-2026-0069,active,,38496.05,0.0785
A0070,C008,part,P0001,,36612.43,2024-03-24,2026-09-07,90,PA-2024-0070,active,,30987.65,0.1815
A0071,C008,part,P0003,,32302.15,2024-03-04,2026-12-21,52,PA-2024-0071,active,,29334.26,0.1012
A0072,C008,part,P0106,,2025.12,2024-05-18,2027-04-14,352,PA-2024-0072,active,,1950.72,0.0381
A0073,C008,part,P0073,,8232.66,2024-03-07,2026-01-21,270,PA-2024-0073,superseded,A0074,7640.8,0.0775
A0074,C008,part,P0073,,9055.46,2026-01-22,2027-06-30,70,PA-2026-0074,active,,8232.66,0.0999
A0075,C008,part,P0115,,2331.29,2024-04-06,2026-10-13,528,PA-2024-0075,active,,2256.14,0.0333
A0076,C008,part,P0112,,2368.58,2024-07-11,2025-12-25,300,PA-2024-0076,expired,,2207.37,0.073
A0077,C008,part,P0116,,2177.25,2024-04-12,2027-01-04,352,PA-2024-0077,active,,2012.64,0.0818
A0078,C008,part,P0103,,2417.92,2024-07-07,2027-01-07,640,PA-2024-0078,active,,2177.53,0.1104
A0079,C009,part,P0091,,48978.28,2024-05-15,2027-01-06,8,PA-2024-0079,active,,44036.07,0.1122
A0080,C009,part,P0094,,46412.59,2024-02-17,2025-03-08,52,PA-2024-0080,superseded,A0081,41030.99,0.1312
A0081,C009,part,P0094,,55565.22,2025-03-09,2026-02-28,26,PA-2025-0081,expired,,46412.59,0.1972
A0082,C009,part,P0093,,47277.56,2024-06-12,2026-06-25,42,PA-2024-0082,expired,,41224.32,0.1468
A0083,C009,part,P0068,,7710.55,2024-07-03,2025-10-28,266,PA-2024-0083,superseded,A0084,7257.9,0.0624
A0084,C009,part,P0068,,8463.71,2025-10-29,2027-01-29,145,PA-2025-0084,active,,7710.55,0.0977
A0085,C009,part,P0099,,47722.58,2024-02-20,2026-10-21,12,PA-2024-0085,active,,44941.72,0.0619
A0086,C009,part,P0095,,41230.44,2024-06-28,2027-05-06,30,PA-2024-0086,active,,36603.1,0.1264
A0087,C009,part,P0065,,7127.8,2024-02-26,2027-09-02,90,PA-2024-0087,active,,6560.0,0.0866
A0088,C009,part,P0080,,8353.5,2024-06-11,2027-06-10,80,PA-2024-0088,active,,7461.33,0.1196
A0089,C010,part,P0022,,10323.68,2024-05-29,2026-06-25,297,PA-2024-0089,expired,,9813.83,0.052
A0090,C010,part,P0035,,9573.44,2024-07-07,2027-06-20,96,PA-2024-0090,active,,9138.32,0.0476
A0091,C010,part,P0034,,11206.07,2024-03-12,2026-11-28,598,PA-2024-0091,active,,9767.27,0.1473
A0092,C010,part,P0081,,42258.34,2024-05-28,2025-11-20,54,PA-2024-0092,superseded,A0093,40339.1,0.0476
A0093,C010,part,P0081,,51097.28,2025-11-21,2027-03-25,24,PA-2025-0093,active,,42258.34,0.2092
A0094,C010,part,P0089,,44732.66,2024-07-06,2025-10-07,75,PA-2024-0094,superseded,A0095,41429.83,0.0797
A0095,C010,part,P0089,,48197.85,2025-09-20,2027-06-07,36,PA-2025-0095,active,,44732.66,0.0775
A0096,C010,part,P0040,,10729.07,2024-03-24,2025-11-05,261,PA-2024-0096,superseded,A0097,9880.75,0.0859
A0097,C010,part,P0040,,11344.3,2025-09-27,2027-01-14,176,PA-2025-0097,active,,10729.07,0.0573
A0098,C010,part,P0055,,348.36,2024-06-25,2025-04-11,4440,PA-2024-0098,superseded,A0099,337.09,0.0334
A0099,C010,part,P0055,,363.03,2025-03-20,2026-01-22,11050,PA-2025-0099,superseded,A0100,348.36,0.0421
A0100,C010,part,P0055,,399.88,2026-01-23,2026-12-01,2175,PA-2026-0100,active,,363.03,0.1015
A0101,C010,part,P0087,,41869.09,2024-06-22,2027-01-11,68,PA-2024-0101,active,,38222.55,0.0954
A0102,C010,part,P0056,,521.32,2024-04-29,2025-06-13,13950,PA-2024-0102,superseded,A0103,404.44,0.289
A0103,C010,part,P0056,,546.06,2025-05-15,2026-06-14,6136,PA-2025-0103,expired,,521.32,0.0475
A0104,C010,part,P0027,,12491.29,2024-02-28,2025-06-10,58,PA-2024-0104,superseded,A0105,10684.49,0.1691
A0105,C010,part,P0027,,13652.85,2025-06-11,2026-02-20,120,PA-2025-0105,superseded,A0106,12491.29,0.093
A0106,C010,part,P0027,,15441.15,2026-04-18,2027-05-11,190,PA-2026-0106,active,,13652.85,0.131
A0107,C011,part,P0073,,7974.48,2024-05-25,2026-11-06,153,PA-2024-0107,active,,7063.4,0.129
A0108,C011,part,P0080,,8220.8,2024-03-05,2027-07-12,252,PA-2024-0108,active,,7605.39,0.0809
A0109,C011,part,P0083,,46785.57,2024-06-03,2027-07-27,87,PA-2024-0109,active,,41143.98,0.1371
A0110,C011,part,P0097,,49812.12,2024-03-17,2026-09-24,72,PA-2024-0110,active,,44718.83,0.1139
A0111,C011,part,P0084,,49036.54,2024-02-19,2027-01-15,78,PA-2024-0111,active,,46340.09,0.0582
A0112,C011,part,P0106,,1908.93,2024-02-11,2025-07-26,76,PA-2024-0112,superseded,A0113,1803.31,0.0586
A0113,C011,part,P0106,,2021.8,2025-07-27,2026-11-01,504,PA-2025-0113,active,,1908.93,0.0591
A0114,C011,part,P0105,,2069.88,2024-06-09,2025-11-18,810,PA-2024-0114,superseded,A0115,1854.96,0.1159
A0115,C011,part,P0105,,2301.39,2025-12-19,2027-07-01,266,PA-2025-0115,active,,2069.88,0.1118
A0116,C011,part,P0091,,51370.65,2024-04-22,2027-07-28,108,PA-2024-0116,active,,44886.27,0.1445
A0117,C012,part,P0107,,2502.29,2024-03-09,2027-02-12,216,PA-2024-0117,active,,2209.92,0.1323
A0118,C012,part,P0120,,2432.21,2024-04-02,2027-08-05,171,PA-2024-0118,active,,2343.25,0.038
A0119,C012,part,P0053,,431.48,2024-03-18,2025-07-18,5940,PA-2024-0119,superseded,A0120,386.73,0.1157
A0120,C012,part,P0053,,504.68,2025-07-19,2027-02-07,1862,PA-2025-0120,active,,431.48,0.1696
A0121,C012,part,P0060,,480.28,2024-06-19,2027-05-02,10192,PA-2024-0121,active,,461.14,0.0415
A0122,C012,part,P0084,,55944.21,2024-06-30,2025-11-21,48,PA-2024-0122,superseded,A0123,51170.18,0.0933
A0123,C012,part,P0084,,62242.37,2025-11-22,2026-12-21,60,PA-2025-0123,active,,55944.21,0.1126
A0124,C012,part,P0097,,53318.0,2024-06-23,2027-05-04,56,PA-2024-0124,active,,49379.93,0.0798
A0125,C012,part,P0106,,2074.61,2024-03-08,2026-09-21,1053,PA-2024-0125,active,,1991.27,0.0419
A0126,C012,part,P0047,,476.6,2024-03-01,2027-05-30,3705,PA-2024-0126,active,,411.06,0.1594
A0127,C012,part,P0087,,45513.35,2024-02-11,2026-11-19,87,PA-2024-0127,active,,42488.91,0.0712
A0128,C012,part,P0099,,54481.99,2024-06-16,2026-05-07,112,PA-2024-0128,expired,,50584.17,0.0771
A0129,C012,part,P0114,,2464.35,2024-03-29,2027-08-17,648,PA-2024-0129,active,,2013.65,0.2238
A0130,C012,part,P0059,,387.79,2024-06-19,2026-05-23,3584,PA-2024-0130,expired,,370.32,0.0472
A0131,C013,part,P0008,,34604.24,2024-05-07,2027-05-16,75,PA-2024-0131,active,,32155.78,0.0761
A0132,C013,part,P0025,,12537.63,2024-02-13,2025-10-23,84,PA-2024-0132,superseded,A0133,11188.84,0.1205
A0133,C013,part,P0025,,13485.26,2025-12-05,2027-03-09,420,PA-2025-0133,active,,12537.63,0.0756
A0134,C013,part,P0029,,13316.55,2024-02-28,2026-10-17,270,PA-2024-0134,active,,12004.34,0.1093
A0135,C013,part,P0013,,32393.14,2024-07-20,2027-04-25,112,PA-2024-0135,active,,29274.88,0.1065
A0136,C013,part,P0023,,10913.42,2024-03-30,2027-05-28,68,PA-2024-0136,active,,9888.9,0.1036
A0137,C013,part,P0022,,11654.62,2024-07-16,2026-10-03,72,PA-2024-0137,active,,10275.64,0.1342
A0138,C014,part,P0043,,355.38,2024-05-30,2026-12-18,13271,PA-2024-0138,active,,343.02,0.036
A0139,C014,part,P0090,,36170.87,2024-07-05,2027-08-07,84,PA-2024-0139,active,,34496.68,0.0485
A0140,C014,part,P0030,,9086.86,2024-07-09,2027-08-23,85,PA-2024-0140,active,,8724.96,0.0415
A0141,C014,part,P0094,,41308.43,2024-05-04,2026-09-13,22,PA-2024-0141,active,,38362.61,0.0768
A0142,C014,part,P0091,,46141.21,2024-06-04,2027-05-25,16,PA-2024-0142,active,,41172.26,0.1207
A0143,C014,part,P0033,,10389.63,2024-07-24,2027-04-30,170,PA-2024-0143,active,,9994.89,0.0395
A0144,C014,part,P0086,,40789.62,2024-04-25,2027-07-18,84,PA-2024-0144,active,,37638.83,0.0837
A0145,C014,part,P0100,,43416.16,2024-02-16,2025-04-25,104,PA-2024-0145,superseded,A0146,39511.87,0.0988
A0146,C014,part,P0100,,47896.85,2025-04-26,2026-04-17,22,PA-2025-0146,expired,,43416.16,0.1032
A0147,C014,part,P0087,,40279.22,2024-05-06,2026-10-17,108,PA-2024-0147,active,,35294.48,0.1412
A0148,C014,part,P0083,,43528.78,2024-04-23,2025-09-26,29,PA-2024-0148,superseded,A0149,37739.62,0.1534
A0149,C014,part,P0083,,45755.31,2025-08-24,2026-12-23,22,PA-2025-0149,active,,43528.78,0.0512
A0150,C015,part,P0092,,47016.36,2024-06-30,2025-12-03,60,PA-2024-0150,superseded,A0151,36902.7,0.2741
A0151,C015,part,P0092,,49884.09,2025-10-26,2027-08-31,10,PA-2025-0151,active,,47016.36,0.061
A0152,C015,part,P0098,,48478.64,2024-06-10,2027-05-24,24,PA-2024-0152,active,,43966.56,0.1026
A0153,C015,part,P0082,,54264.42,2024-02-20,2026-12-08,28,PA-2024-0153,active,,43807.28,0.2387
A0154,C015,part,P0080,,8257.57,2024-06-03,2026-05-06,378,PA-2024-0154,expired,,7354.34,0.1228
A0155,C015,part,P0062,,7758.21,2024-07-06,2026-12-07,300,PA-2024-0155,active,,6078.28,0.2764
A0156,C015,part,P0084,,51190.05,2024-04-30,2025-03-28,120,PA-2024-0156,superseded,A0157,44810.48,0.1424
A0157,C015,part,P0084,,55799.69,2025-07-07,2026-02-06,24,PA-2025-0157,expired,,51190.05,0.09
A0158,C015,part,P0077,,6636.26,2024-05-16,2027-06-16,378,PA-2024-0158,active,,6405.16,0.0361
A0159,C015,part,P0072,,7413.24,2024-05-28,2026-10-07,560,PA-2024-0159,active,,7044.29,0.0524
A0160,C015,part,P0083,,47964.67,2024-07-17,2027-07-29,60,PA-2024-0160,active,,39785.88,0.2056
A0161,C015,part,P0097,,49795.28,2024-02-27,2026-10-23,63,PA-2024-0161,active,,43242.73,0.1515
A0162,C016,family,,Thermal Control Units,61399.88,2024-06-13,2026-10-30,540,PA-2024-0162,active,,47582.4,0.2904
A0163,C016,part,P0064,,9609.28,2024-06-20,2026-10-25,63,PA-2024-0163,active,,8916.42,0.0777
A0164,C016,part,P0089,,54814.12,2024-04-28,2027-02-26,52,PA-2024-0164,active,,47786.59,0.1471
A0165,C016,part,P0046,,474.5,2024-06-11,2025-10-19,6578,PA-2024-0165,superseded,A0166,416.21,0.14
A0166,C016,part,P0046,,493.07,2025-10-20,2027-02-02,20440,PA-2025-0166,active,,474.5,0.0391
A0167,C016,part,P0065,,7919.76,2024-05-31,2026-01-05,308,PA-2024-0167,superseded,A0168,7661.36,0.0337
A0168,C016,part,P0065,,8483.37,2025-12-19,2027-08-15,380,PA-2025-0168,active,,7919.76,0.0712
A0169,C016,part,P0086,,53316.69,2024-07-29,2027-04-09,120,PA-2024-0169,active,,47015.59,0.134
A0170,C016,part,P0049,,471.94,2024-07-07,2025-11-09,5712,PA-2024-0170,superseded,A0171,429.94,0.0977
A0171,C016,part,P0049,,562.79,2025-11-10,2026-11-06,7608,PA-2025-0171,active,,471.94,0.1925
A0172,C016,part,P0073,,8510.38,2024-06-25,2026-03-25,192,PA-2024-0172,expired,,8093.02,0.0516
A0173,C016,part,P0062,,8650.26,2024-02-04,2027-05-17,288,PA-2024-0173,active,,7202.03,0.2011
A0174,C017,family,,Vertical Probe Heads,31557.01,2024-07-04,2027-07-28,255,PA-2024-0174,active,,30304.2,0.0413
A0175,C017,part,P0005,,32057.29,2024-06-02,2027-03-30,11,PA-2024-0175,active,,30666.58,0.0453
A0176,C017,part,P0075,,7746.48,2024-07-16,2027-04-27,207,PA-2024-0176,active,,6815.02,0.1367
A0177,C017,part,P0048,,414.69,2024-07-20,2026-12-09,2379,PA-2024-0177,active,,392.65,0.0561
A0178,C017,part,P0042,,469.82,2024-06-02,2027-04-08,16317,PA-2024-0178,active,,398.41,0.1792
A0179,C017,part,P0053,,382.73,2024-06-12,2027-05-20,4030,PA-2024-0179,active,,345.76,0.1069
A0180,C017,part,P0079,,7473.79,2024-02-09,2026-11-16,171,PA-2024-0180,active,,6839.32,0.0928
A0181,C017,part,P0049,,423.8,2024-05-18,2027-02-15,7011,PA-2024-0181,active,,370.46,0.144
A0182,C017,part,P0056,,478.66,2024-02-04,2027-05-07,12090,PA-2024-0182,active,,401.96,0.1908
A0183,C017,part,P0064,,8281.2,2024-02-26,2026-05-14,69,PA-2024-0183,expired,,7682.92,0.0779
A0184,C017,part,P0002,,35654.87,2024-04-21,2027-02-22,25,PA-2024-0184,active,,31460.7,0.1333
A0185,C017,part,P0068,,7549.34,2024-03-11,2026-10-04,150,PA-2024-0185,active,,7303.79,0.0336
A0186,C018,part,P0008,,33810.2,2024-02-10,2025-12-31,24,PA-2024-0186,superseded,A0187,31460.62,0.0747
A0187,C018,part,P0008,,37043.84,2026-03-07,2027-05-31,42,PA-2026-0187,active,,33810.2,0.0956
A0188,C018,part,P0011,,30519.62,2024-02-09,2027-04-30,66,PA-2024-0188,active,,29268.53,0.0427
A0189,C018,part,P0111,,2123.22,2024-05-12,2026-11-17,176,PA-2024-0189,active,,1984.97,0.0696
A0190,C018,part,P0005,,34145.22,2024-04-02,2027-02-04,12,PA-2024-0190,active,,31609.32,0.0802
A0191,C018,part,P0089,,54399.33,2024-04-23,2027-02-13,33,PA-2024-0191,active,,42441.55,0.2817
A0192,C019,family,,Cantilever Probe Cards,12227.33,2024-02-14,2026-11-19,378,PA-2024-0192,active,,11008.95,0.1107
A0193,C019,part,P0103,,2259.17,2024-02-21,2026-09-19,728,PA-2024-0193,active,,2134.49,0.0584
A0194,C019,part,P0040,,11458.47,2024-07-05,2027-05-19,147,PA-2024-0194,active,,10547.33,0.0864
A0195,C019,part,P0021,,12102.61,2024-03-01,2027-01-18,102,PA-2024-0195,active,,11491.02,0.0532
A0196,C019,part,P0022,,11521.9,2024-03-27,2027-03-03,260,PA-2024-0196,active,,10475.9,0.0998
A0197,C020,family,,Load Boards,8021.21,2024-04-08,2026-05-30,102,PA-2024-0197,expired,,7711.08,0.0402
A0198,C020,part,P0059,,382.62,2024-04-14,2025-07-04,4365,PA-2024-0198,superseded,A0199,367.24,0.0419
A0199,C020,part,P0059,,428.98,2025-07-05,2026-12-21,6144,PA-2025-0199,active,,382.62,0.1212
A0200,C020,part,P0071,,8771.16,2024-04-02,2025-11-27,77,PA-2024-0200,superseded,A0201,8334.65,0.0524
A0201,C020,part,P0071,,9722.98,2025-11-28,2027-08-24,33,PA-2025-0201,active,,8771.16,0.1085
A0202,C020,part,P0069,,7819.29,2024-03-04,2027-03-19,208,PA-2024-0202,active,,7337.82,0.0656
A0203,C020,part,P0053,,437.85,2024-03-26,2027-03-12,4758,PA-2024-0203,active,,383.51,0.1417
A0204,C020,part,P0049,,425.68,2024-07-25,2026-06-26,14224,PA-2024-0204,expired,,410.9,0.036
A0205,C020,part,P0048,,560.63,2024-02-06,2027-01-19,14860,PA-2024-0205,active,,435.52,0.2873
A0206,C020,part,P0078,,8105.36,2024-03-22,2026-10-15,100,PA-2024-0206,active,,7505.06,0.08
A0207,C020,part,P0051,,437.46,2024-06-04,2026-01-07,18960,PA-2024-0207,superseded,A0208,413.06,0.0591
A0208,C020,part,P0051,,457.84,2026-01-08,2027-07-05,5016,PA-2026-0208,active,,437.46,0.0466
A0209,C021,part,P0003,,27642.79,2024-05-08,2027-07-12,84,PA-2024-0209,active,,25201.15,0.0969
A0210,C021,part,P0002,,30613.6,2024-06-15,2025-06-16,40,PA-2024-0210,superseded,A0211,29614.64,0.0337
A0211,C021,part,P0002,,34278.29,2025-06-17,2026-06-19,75,PA-2025-0211,superseded,A0212,30613.6,0.1197
A0212,C021,part,P0002,,36683.22,2026-06-20,2027-08-08,63,PA-2026-0212,active,,34278.29,0.0702
A0213,C021,part,P0020,,30765.11,2024-07-10,2026-01-13,104,PA-2024-0213,superseded,A0214,29165.35,0.0549
A0214,C021,part,P0020,,33259.28,2026-04-04,2027-06-27,102,PA-2026-0214,active,,30765.11,0.0811
A0215,C021,part,P0105,,1838.68,2024-02-20,2026-03-06,360,PA-2024-0215,expired,,1723.87,0.0666
A0216,C021,part,P0017,,35575.3,2024-04-14,2027-06-10,130,PA-2024-0216,active,,29759.52,0.1954
A0217,C021,part,P0114,,1879.16,2024-04-08,2025-07-01,375,PA-2024-0217,superseded,A0218,1694.7,0.1088
A0218,C021,part,P0114,,2195.79,2025-07-02,2027-03-10,936,PA-2025-0218,active,,1879.16,0.1685
A0219,C021,part,P0107,,2094.29,2024-02-11,2025-10-29,135,PA-2024-0219,superseded,A0220,1859.89,0.126
A0220,C021,part,P0107,,2180.96,2025-10-30,2027-07-25,192,PA-2025-0220,active,,2094.29,0.0414
A0221,C022,part,P0118,,2718.7,2024-06-25,2025-05-13,782,PA-2024-0221,superseded,A0222,2404.49,0.1307
A0222,C022,part,P0118,,2822.85,2025-04-09,2026-01-28,425,PA-2025-0222,expired,,2718.7,0.0383
A0223,C022,part,P0017,,41925.27,2024-03-06,2026-10-21,112,PA-2024-0223,active,,36534.34,0.1476
A0224,C022,part,P0016,,39979.44,2024-05-31,2027-06-17,88,PA-2024-0224,active,,36312.35,0.101
A0225,C022,part,P0101,,2480.11,2024-06-18,2027-05-22,168,PA-2024-0225,active,,2314.88,0.0714
A0226,C022,part,P0005,,36636.63,2024-04-21,2026-11-02,56,PA-2024-0226,active,,35438.77,0.0338
A0227,C022,part,P0120,,2932.45,2024-06-23,2025-11-15,598,PA-2024-0227,superseded,A0228,2421.06,0.2112
A0228,C022,part,P0120,,3273.59,2025-11-16,2026-12-30,348,PA-2025-0228,active,,2932.45,0.1163
A0229,C022,part,P0112,,2438.53,2024-05-19,2027-05-23,190,PA-2024-0229,active,,2328.07,0.0474
A0230,C022,part,P0011,,36488.83,2024-04-19,2025-08-21,76,PA-2024-0230,superseded,A0231,32814.4,0.112
A0231,C022,part,P0011,,37645.82,2025-08-22,2027-01-30,91,PA-2025-0231,active,,36488.83,0.0317
A0232,C023,part,P0081,,48565.74,2024-06-05,2027-02-13,84,PA-2024-0232,active,,42480.21,0.1433
A0233,C023,part,P0052,,502.41,2024-04-17,2025-10-31,13642,PA-2024-0233,superseded,A0234,443.97,0.1316
A0234,C023,part,P0052,,535.01,2025-11-01,2027-01-01,4964,PA-2025-0234,active,,502.41,0.0649
A0235,C023,part,P0060,,492.3,2024-05-17,2025-09-27,12696,PA-2024-0235,superseded,A0236,436.85,0.1269
A0236,C023,part,P0060,,561.77,2025-09-28,2027-07-26,1848,PA-2025-0236,active,,492.3,0.1411
A0237,C023,part,P0110,,1932.81,2024-04-21,2025-03-08,40,PA-2024-0237,superseded,A0238,1756.58,0.1003
A0238,C023,part,P0110,,2030.34,2025-02-11,2025-10-17,513,PA-2025-0238,superseded,A0239,1932.81,0.0505
