product_id,part_number,family,launch_date
P0058,BIS-3109,Burn-In Sockets,2020-07-10
P0059,BIS-3146,Burn-In Sockets,2022-12-20
P0060,BIS-3183,Burn-In Sockets,2020-05-04
P0061,LDB-3220,Load Boards,2023-08-25
P0062,LDB-3257,Load Boards,2019-06-22
P0063,LDB-3294,Load Boards,2022-10-08
P0064,LDB-3331,Load Boards,2021-08-11
P0065,LDB-3368,Load Boards,2020-06-16
P0066,LDB-3405,Load Boards,2020-03-30
P0067,LDB-3442,Load Boards,2023-07-12
P0068,LDB-3479,Load Boards,2020-08-04
P0069,LDB-3516,Load Boards,2021-12-17
P0070,LDB-3553,Load Boards,2025-12-04
P0071,LDB-3590,Load Boards,2018-10-21
P0072,LDB-3627,Load Boards,2021-04-29
P0073,LDB-3664,Load Boards,2021-04-24
P0074,LDB-3701,Load Boards,2018-12-30
P0075,LDB-3738,Load Boards,2022-04-18
P0076,LDB-3775,Load Boards,2020-02-11
P0077,LDB-3812,Load Boards,2020-08-11
P0078,LDB-3849,Load Boards,2023-08-01
P0079,LDB-3886,Load Boards,2018-09-25
P0080,LDB-3923,Load Boards,2019-06-04
P0081,TCU-3960,Thermal Control Units,2022-12-28
P0082,TCU-3997,Thermal Control Units,2019-03-31
P0083,TCU-4034,Thermal Control Units,2019-10-20
P0084,TCU-4071,Thermal Control Units,2021-05-07
P0085,TCU-4108,Thermal Control Units,2020-12-25
P0086,TCU-4145,Thermal Control Units,2022-03-26
P0087,TCU-4182,Thermal Control Units,2021-08-20
P0088,TCU-4219,Thermal Control Units,2018-11-29
P0089,TCU-4256,Thermal Control Units,2021-12-03
P0090,TCU-4293,Thermal Control Units,2023-04-22
P0091,TCU-4330,Thermal Control Units,2022-08-23
P0092,TCU-4367,Thermal Control Units,2019-01-10
P0093,TCU-4404,Thermal Control Units,2019-04-14
P0094,TCU-4441,Thermal Control Units,2020-09-03
P0095,TCU-4478,Thermal Control Units,2023-08-06
P0096,TCU-4515,Thermal Control Units,2025-03-17
P0097,TCU-4552,Thermal Control Units,2022-07-28
P0098,TCU-4589,Thermal Control Units,2023-05-19
P0099,TCU-4626,Thermal Control Units,2020-11-21
P0100,TCU-4663,Thermal Control Units,2022-05-12
P0101,CAL-4700,Calibration Standards,2019-07-27
P0102,CAL-4737,Calibration Standards,2023-07-31
P0103,CAL-4774,Calibration Standards,2020-03-11
P0104,CAL-4811,Calibration Standards,2020-05-06
P0105,CAL-4848,Calibration Standards,2021-10-25
P0106,CAL-4885,Calibration Standards,2022-01-07
P0107,CAL-4922,Calibration Standards,2021-10-04
P0108,CAL-4959,Calibration Standards,2023-06-22
P0109,CAL-4996,Calibration Standards,2022-02-11
P0110,CAL-5033,Calibration Standards,2021-04-19
P0111,CAL-5070,Calibration Standards,2022-10-29
P0112,CAL-5107,Calibration Standards,2021-08-17
P0113,CAL-5144,Calibration Standards,2020-12-21
P0114,CAL-5181,Calibration Standards,2023-06-29
P0115,CAL-5218,Calibration Standards,2024-01-09
P0116,CAL-5255,Calibration Standards,2021-05-31
P0117,CAL-5292,Calibration Standards,2019-08-09
P0118,CAL-5329,Calibration Standards,2022-01-10
P0119,CAL-5366,Calibration Standards,2023-08-08
P0120,CAL-5403,Calibration Standards,2022-08-25
