booking_id,quote_id,line_no,customer_id,product_id,booking_date,booked_quantity,booked_price
BK-000044,Q-2024-000049,1,C029,P0088,2024-08-17,4,46933.49
BK-000045,Q-2024-000052,1,C039,P0050,2024-09-20,787,519.25
BK-000046,Q-2024-000053,1,C008,P0104,2024-08-24,26,2180.11
BK-000047,Q-2024-000054,1,C011,P0084,2024-09-26,1,46559.59
BK-000048,Q-2024-000054,2,C011,P0080,2024-08-21,10,8236.52
BK-000049,Q-2024-000055,1,C033,P0022,2024-09-28,9,10714.24
BK-000050,Q-2024-000055,2,C033,P0048,2024-09-02,382,411.89
BK-000051,Q-2024-000056,1,C036,P0014,2024-10-08,5,39343.63
BK-000052,Q-2024-000058,2,C030,P0089,2024-08-29,3,46040.96
BK-000053,Q-2024-000059,1,C040,P0026,2024-09-20,18,9795.6
BK-000054,Q-2024-000060,1,C026,P0120,2024-10-12,12,2524.54
BK-000055,Q-2024-000060,2,C026,P0048,2024-09-12,616,470.13
BK-000056,Q-2024-000063,1,C010,P0035,2024-09-02,6,9600.38
BK-000057,Q-2024-000064,1,C001,P0003,2024-09-12,5,28233.39
BK-000058,Q-2024-000064,2,C001,P0015,2024-08-26,4,32421.31
BK-000059,Q-2024-000065,1,C015,P0062,2024-09-17,8,7739.77
BK-000060,Q-2024-000065,2,C015,P0080,2024-08-29,10,8232.62
BK-000061,Q-2024-000065,3,C015,P0072,2024-09-02,9,7014.9
BK-000062,Q-2024-000067,2,C013,P0029,2024-08-28,19,13272.99
BK-000063,Q-2024-000069,1,C017,P0079,2024-08-21,5,7485.94
BK-000064,Q-2024-000070,1,C014,P0091,2024-09-11,3,46216.14
BK-000065,Q-2024-000070,2,C014,P0083,2024-08-30,1,43580.91
BK-000066,Q-2024-000071,1,C033,P0054,2024-10-19,671,457.31
BK-000067,Q-2024-000072,1,C025,P0113,2024-10-09,26,2189.65
BK-000068,Q-2024-000072,2,C025,P0076,2024-11-13,4,6275.35
BK-000069,Q-2024-000074,1,C013,P0029,2024-10-12,18,13266.84
BK-000070,Q-2024-000074,2,C013,P0013,2024-10-25,6,32394.47
BK-000071,Q-2024-000075,1,C028,P0043,2024-10-02,51,453.52
BK-000072,Q-2024-000077,1,C034,P0063,2024-10-20,10,7254.76
BK-000073,Q-2024-000079,1,C032,P0097,2024-11-02,2,51700.0
BK-000074,Q-2024-000083,1,C011,P0105,2024-10-26,23,2058.51
BK-000075,Q-2024-000085,1,C003,P0033,2024-10-20,15,10772.85
BK-000076,Q-2024-000086,1,C033,P0054,2024-10-30,533,461.76
BK-000077,Q-2024-000087,1,C025,P0066,2024-10-10,1,8399.62
BK-000078,Q-2024-000088,1,C030,P0066,2024-10-26,16,8121.43
BK-000079,Q-2024-000089,2,C028,P0043,2024-10-26,311,453.86
BK-000080,Q-2024-000090,1,C018,P0011,2024-10-22,5,30452.69
BK-000081,Q-2024-000091,1,C017,P0068,2024-10-07,4,7300.0
BK-000082,Q-2024-000091,3,C017,P0075,2024-10-21,9,6809.48
BK-000083,Q-2024-000091,4,C017,P0019,2024-10-02,5,30162.54
BK-000084,Q-2024-000092,3,C025,P0063,2024-09-26,10,6659.7
BK-000085,Q-2024-000093,1,C006,P0086,2024-09-23,3,47146.59
BK-000086,Q-2024-000094,1,C020,P0053,2024-10-10,114,436.61
BK-000087,Q-2024-000094,3,C020,P0061,2024-10-01,5,8019.49
BK-000088,Q-2024-000095,1,C020,P0079,2024-10-30,19,8009.32
BK-000089,Q-2024-000095,2,C020,P0059,2024-10-07,685,383.74
BK-000090,Q-2024-000096,1,C004,P0029,2024-11-21,8,11871.34
BK-000091,Q-2024-000096,2,C004,P0022,2024-11-25,18,10893.56
BK-000092,Q-2024-000097,2,C026,P0052,2024-10-19,242,538.54
BK-000093,Q-2024-000097,3,C026,P0048,2024-10-25,722,471.3
BK-000094,Q-2024-000099,2,C006,P0084,2024-09-22,3,47390.03
BK-000095,Q-2024-000100,2,C033,P0046,2024-11-11,461,441.71
BK-000096,Q-2024-000101,1,C004,P0029,2024-09-25,9,11801.79
BK-000097,Q-2024-000102,3,C003,P0026,2024-10-26,17,10796.25
BK-000098,Q-2024-000102,4,C003,P0022,2024-10-08,14,9986.25
BK-000099,Q-2024-000104,1,C017,P0005,2024-10-07,6,30718.34
BK-000100,Q-2024-000104,2,C017,P0001,2024-10-21,7,31509.86
BK-000101,Q-2024-000105,4,C012,P0097,2024-11-08,1,53504.06
BK-000102,Q-2024-000106,1,C005,P0020,2024-11-26,5,34258.33
BK-000103,Q-2024-000108,1,C002,P0073,2024-09-19,2,7644.93
BK-000104,Q-2024-000108,2,C002,P0066,2024-09-26,11,6641.16
BK-000105,Q-2024-000109,1,C033,P0027,2024-10-29,17,13217.84
BK-000106,Q-2024-000109,3,C033,P0022,2024-09-20,14,11476.09
BK-000107,Q-2024-000110,1,C035,P0048,2024-10-01,729,424.82
BK-000108,Q-2024-000110,2,C035,P0061,2024-10-17,14,8672.21
BK-000109,Q-2024-000112,2,C017,P0053,2024-10-16,709,344.09
BK-000110,Q-2024-000113,1,C009,P0094,2024-10-26,1,41020.81
BK-000111,Q-2024-000115,1,C017,P0056,2024-10-14,441,411.87
BK-000112,Q-2024-000116,1,C010,P0035,2024-10-25,7,9564.33
BK-000113,Q-2024-000118,1,C018,P0011,2024-10-12,6,30580.5
BK-000114,Q-2024-000118,2,C018,P0005,2024-09-29,6,34084.54
BK-000115,Q-2024-000119,1,C032,P0088,2024-10-30,2,53224.97
BK-000116,Q-2024-000120,1,C030,P0071,2024-10-09,3,8719.23
BK-000117,Q-2024-000121,3,C009,P0091,2024-10-07,2,48133.44
BK-000118,Q-2024-000122,1,C004,P0100,2024-10-12,4,51220.17
BK-000119,Q-2024-000123,1,C015,P0092,2024-09-28,2,46928.34
BK-000120,Q-2024-000124,1,C025,P0118,2024-10-28,15,2248.27
BK-000121,Q-2024-000125,1,C030,P0090,2024-10-22,4,41201.1
BK-000122,Q-2024-000125,2,C030,P0071,2024-10-11,10,8779.24
BK-000123,Q-2024-000127,1,C007,P0047,2024-10-11,397,420.44
BK-000124,Q-2024-000127,2,C007,P0076,2024-10-14,12,7071.25
BK-000125,Q-2024-000128,1,C032,P0081,2024-10-31,4,47000.0
BK-000126,Q-2024-000128,2,C032,P0042,2024-10-01,212,465.0
BK-000127,Q-2024-000128,3,C032,P0046,2024-10-05,493,420.0
BK-000128,Q-2024-000129,1,C015,P0082,2024-10-16,1,54439.21
BK-000129,Q-2024-000129,2,C015,P0080,2024-09-26,4,8259.59
BK-000130,Q-2024-000130,1,C033,P0054,2024-10-19,64,515.06
BK-000131,Q-2024-000132,1,C003,P0044,2024-10-27,377,371.44
BK-000132,Q-2024-000133,1,C002,P0067,2024-10-30,7,7464.54
BK-000133,Q-2024-000134,2,C036,P0081,2024-10-23,1,48371.09
BK-000134,Q-2024-000135,1,C021,P0107,2024-10-23,37,2094.54
BK-000135,Q-2024-000136,1,C040,P0026,2024-11-06,12,10633.14
BK-000136,Q-2024-000136,2,C040,P0041,2024-11-07,143,376.88
BK-000137,Q-2024-000137,1,C040,P0053,2024-10-24,336,355.08
BK-000138,Q-2024-000137,2,C040,P0034,2024-10-22,24,10036.58
BK-000139,Q-2024-000138,1,C005,P0020,2024-11-30,2,34134.49
BK-000140,Q-2024-000138,2,C005,P0010,2024-11-15,7,32896.62
BK-000141,Q-2024-000138,3,C005,P0017,2024-11-30,6,30400.0
BK-000142,Q-2024-000139,1,C017,P0001,2024-11-11,6,30428.67
BK-000143,Q-2024-000139,2,C017,P0048,2024-11-13,312,392.98
BK-000144,Q-2024-000142,1,C002,P0066,2024-12-08,9,7056.43
BK-000145,Q-2024-000146,1,C009,P0065,2024-12-13,12,6586.17
BK-000146,Q-2024-000146,2,C009,P0091,2024-11-12,1,44206.42
BK-000147,Q-2024-000147,2,C017,P0001,2024-11-06,1,30328.22
BK-000148,Q-2024-000147,3,C017,P0048,2024-12-01,203,392.09
BK-000149,Q-2024-000148,3,C032,P0097,2024-12-22,2,60909.83
BK-000150,Q-2024-000149,1,C011,P0091,2024-11-04,2,44825.62
BK-000151,Q-2024-000149,2,C011,P0073,2024-11-07,3,7100.16
BK-000152,Q-2024-000150,1,C005,P0010,2024-11-12,3,33031.55
BK-000153,Q-2024-000150,3,C005,P0017,2024-12-03,2,30337.53
BK-000154,Q-2024-000151,1,C003,P0044,2024-12-19,790,373.55
BK-000155,Q-2024-000153,1,C011,P0106,2024-11-27,40,1915.47
BK-000156,Q-2024-000154,3,C026,P0120,2024-11-24,18,2508.96
BK-000157,Q-2024-000154,4,C026,P0111,2024-11-01,27,2582.15
BK-000158,Q-2024-000155,1,C010,P0035,2024-10-20,10,9566.34
BK-000159,Q-2024-000156,1,C017,P0007,2024-11-09,4,31566.89
BK-000160,Q-2024-000156,2,C017,P0064,2024-11-29,8,7940.44
BK-000161,Q-2024-000157,1,C002,P0067,2024-12-14,9,7485.46
BK-000162,Q-2024-000157,2,C002,P0114,2024-11-05,33,1830.02
BK-000163,Q-2024-000158,1,C013,P0013,2024-11-18,3,32457.41
BK-000164,Q-2024-000158,2,C013,P0008,2024-11-19,6,34500.29
BK-000165,Q-2024-000159,1,C039,P0052,2024-11-16,545,486.34
BK-000166,Q-2024-000160,1,C004,P0099,2024-10-14,1,50652.63
BK-000167,Q-2024-000161,1,C040,P0039,2024-10-26,16,11780.55
BK-000168,Q-2024-000161,3,C040,P0024,2024-11-03,6,9304.16
BK-000169,Q-2024-000161,4,C040,P0057,2024-12-08,463,436.2
BK-000170,Q-2024-000162,1,C017,P0002,2024-12-05,5,35567.5
BK-000171,Q-2024-000163,1,C002,P0065,2024-10-25,14,7070.52
BK-000172,Q-2024-000166,1,C007,P0047,2024-10-26,466,429.63
BK-000173,Q-2024-000166,3,C007,P0001,2024-11-12,4,31619.74
BK-000174,Q-2024-000167,2,C009,P0080,2024-11-05,17,7459.1
BK-000175,Q-2024-000169,1,C007,P0061,2024-11-11,13,8324.56
BK-000176,Q-2024-000169,2,C007,P0043,2024-10-19,445,418.78
BK-000177,Q-2024-000171,1,C033,P0033,2024-11-22,15,11879.98
BK-000178,Q-2024-000171,2,C033,P0043,2024-11-12,229,404.38
BK-000179,Q-2024-000172,1,C040,P0024,2024-12-30,10,9325.75
BK-000180,Q-2024-000173,2,C023,P0044,2024-10-26,331,482.24
BK-000181,Q-2024-000175,3,C029,P0003,2024-11-12,1,33310.18
BK-000182,Q-2024-000175,4,C029,P0088,2024-11-29,1,46789.41
BK-000183,Q-2024-000176,2,C033,P0054,2024-10-19,604,460.0
BK-000184,Q-2024-000176,4,C033,P0041,2024-11-14,306,410.44
BK-000185,Q-2024-000177,2,C003,P0027,2024-12-05,1,11125.64
BK-000186,Q-2024-000178,1,C027,P0035,2024-11-07,8,12087.68
BK-000187,Q-2024-000178,4,C027,P0072,2024-11-28,4,9356.03
BK-000188,Q-2024-000180,2,C025,P0063,2024-11-02,9,6673.65
BK-000189,Q-2024-000180,3,C025,P0109,2024-12-03,19,2197.55
BK-000190,Q-2024-000181,1,C017,P0056,2024-12-09,573,414.6
BK-000191,Q-2024-000182,1,C006,P0093,2024-12-01,1,47327.31
BK-000192,Q-2024-000184,1,C008,P0115,2024-10-28,19,2323.08
BK-000193,Q-2024-000184,2,C008,P0073,2024-11-11,7,8227.58
BK-000194,Q-2024-000185,1,C008,P0112,2024-11-16,9,2513.16
BK-000195,Q-2024-000186,3,C038,P0065,2024-11-12,10,9133.37
BK-000196,Q-2024-000187,1,C027,P0039,2024-11-17,5,13509.61
BK-000197,Q-2024-000189,1,C037,P0091,2024-11-17,2,50962.41
BK-000198,Q-2024-000190,1,C023,P0111,2024-11-05,20,2245.78
BK-000199,Q-2024-000191,1,C016,P0073,2024-11-10,3,8521.88
BK-000200,Q-2024-000191,2,C016,P0092,2024-11-20,2,61382.63
BK-000201,Q-2024-000192,1,C004,P0033,2024-11-13,11,11818.04
BK-000202,Q-2024-000196,1,C013,P0025,2024-11-19,23,12529.32
BK-000203,Q-2024-000197,2,C020,P0049,2024-11-17,188,403.23
BK-000204,Q-2024-000198,2,C003,P0022,2024-10-28,16,10028.63
BK-000205,Q-2024-000200,3,C004,P0099,2024-12-12,1,50875.99
BK-000206,Q-2024-000201,1,C035,P0041,2024-12-10,82,462.26
BK-000207,Q-2024-000201,2,C035,P0063,2024-12-24,14,8385.11
BK-000208,Q-2024-000203,1,C040,P0029,2025-01-20,20,11027.69
BK-000209,Q-2024-000204,1,C013,P0023,2025-01-23,17,10933.47
BK-000210,Q-2024-000205,1,C001,P0015,2024-12-15,1,32391.17
BK-000211,Q-2024-000208,1,C010,P0022,2025-01-03,3,10353.51
BK-000212,Q-2024-000208,2,C010,P0087,2024-12-14,1,41987.82
BK-000213,Q-2024-000208,3,C010,P0034,2024-12-05,16,11245.04
BK-000214,Q-2024-000209,1,C037,P0019,2025-01-13,5,36849.08
BK-000215,Q-2024-000211,1,C038,P0114,2024-12-07,24,2169.16
BK-000216,Q-2024-000213,1,C039,P0057,2024-12-10,442,495.92
BK-000217,Q-2024-000215,1,C040,P0053,2024-12-26,439,352.91
BK-000218,Q-2024-000216,1,C006,P0089,2025-01-02,1,48595.87
BK-000219,Q-2024-000218,3,C004,P0029,2024-12-18,3,11829.04
BK-000220,Q-2024-000219,1,C009,P0099,2024-12-13,2,45044.75
BK-000221,Q-2024-000219,2,C009,P0065,2025-01-02,9,7126.04
BK-000222,Q-2024-000220,1,C001,P0005,2024-11-17,8,34034.07
BK-000223,Q-2024-000220,2,C001,P0042,2024-12-19,674,402.22
BK-000224,Q-2024-000222,1,C010,P0027,2024-11-29,17,12606.48
BK-000225,Q-2024-000223,1,C036,P0087,2024-12-13,4,40726.35
BK-000226,Q-2024-000225,2,C004,P0098,2025-01-02,1,53174.68
BK-000227,Q-2024-000226,1,C011,P0083,2024-12-14,2,41227.36
BK-000228,Q-2024-000226,2,C011,P0084,2024-12-05,1,46749.9
BK-000229,Q-2024-000227,1,C011,P0091,2024-12-01,2,51386.89
BK-000230,Q-2024-000227,2,C011,P0083,2024-12-13,4,41068.74
BK-000231,Q-2024-000229,2,C027,P0039,2024-12-17,5,12895.5
BK-000232,Q-2024-000230,2,C026,P0052,2024-12-20,129,538.0
BK-000233,Q-2024-000230,3,C026,P0042,2024-12-17,70,499.54
BK-000234,Q-2024-000231,1,C032,P0081,2025-01-10,2,52349.08
BK-000235,Q-2024-000232,2,C040,P0029,2024-12-30,3,11459.0
BK-000236,Q-2024-000236,1,C018,P0089,2024-11-25,4,54524.37
BK-000237,Q-2024-000236,2,C018,P0011,2024-12-04,8,30615.61
BK-000238,Q-2024-000237,2,C037,P0098,2024-12-16,1,51865.38
BK-000239,Q-2024-000238,1,C011,P0083,2025-01-06,2,41067.09
BK-000240,Q-2024-000239,2,C009,P0093,2024-11-16,3,41223.66
BK-000241,Q-2024-000240,1,C036,P0013,2025-01-02,4,33557.66
BK-000242,Q-2024-000241,1,C007,P0002,2025-01-18,6,35919.74
BK-000243,Q-2024-000242,2,C010,P0027,2024-12-10,24,12519.56
BK-000244,Q-2024-000244,1,C009,P0068,2024-11-18,12,7732.23
BK-000245,Q-2024-000246,1,C030,P0066,2024-12-02,10,8164.91
BK-000246,Q-2024-000247,2,C027,P0035,2024-12-23,21,12108.9
BK-000247,Q-2024-000247,4,C027,P0071,2024-11-23,9,9165.8
BK-000248,Q-2024-000250,1,C005,P0073,2024-12-10,7,7178.81
BK-000249,Q-2024-000250,2,C005,P0017,2024-12-19,7,32811.69
BK-000250,Q-2024-000250,3,C005,P0010,2025-01-08,1,32952.5
BK-000251,Q-2024-000252,1,C022,P0118,2024-12-04,16,2714.83
BK-000252,Q-2024-000253,1,C017,P0048,2024-12-24,532,392.26
BK-000253,Q-2024-000253,2,C017,P0005,2024-12-05,2,32036.35
BK-000254,Q-2024-000253,3,C017,P0002,2024-12-14,1,31400.0
BK-000255,Q-2024-000254,1,C025,P0076,2024-12-07,3,6281.53
BK-000256,Q-2024-000254,2,C025,P0108,2024-11-17,18,1976.96
BK-000257,Q-2024-000254,3,C025,P0063,2024-11-23,9,6653.96
BK-000258,Q-2024-000254,4,C025,P0118,2024-12-29,11,2251.34
BK-000259,Q-2024-000255,1,C040,P0053,2024-11-25,73,354.68
BK-000260,Q-2024-000255,2,C040,P0058,2024-12-18,60,452.99
BK-000261,Q-2024-000255,4,C040,P0034,2024-11-21,1,10066.56
BK-000262,Q-2024-000256,2,C007,P0061,2025-01-05,6,8406.77
BK-000263,Q-2024-000258,1,C033,P0040,2024-12-12,14,10756.07
BK-000264,Q-2024-000259,2,C015,P0072,2024-12-13,20,7395.14
BK-000265,Q-2024-000259,4,C015,P0077,2024-12-23,14,6646.84
BK-000266,Q-2024-000261,1,C019,P0103,2024-12-27,13,2252.97
BK-000267,Q-2024-000263,1,C009,P0068,2024-12-07,7,7706.29
BK-000268,Q-2024-000264,2,C010,P0055,2025-01-06,701,335.0
BK-000269,Q-2024-000264,3,C010,P0056,2024-12-11,141,407.17
BK-000270,Q-2024-000265,1,C032,P0002,2024-11-19,6,40357.26
BK-000271,Q-2024-000265,2,C032,P0011,2024-11-20,3,36570.62
BK-000272,Q-2024-000266,1,C001,P0005,2024-12-12,1,33942.47
BK-000273,Q-2024-000269,1,C015,P0072,2024-12-11,5,7421.49
BK-000274,Q-2024-000270,1,C003,P0022,2024-12-22,20,10004.16
BK-000275,Q-2024-000270,2,C003,P0039,2024-11-30,8,11324.55
BK-000276,Q-2024-000271,1,C007,P0002,2025-01-24,4,36118.05
BK-000277,Q-2024-000273,1,C032,P0081,2024-12-20,1,52540.98
BK-000278,Q-2024-000274,1,C031,P0108,2025-01-04,10,2403.99
BK-000279,Q-2024-000275,3,C003,P0024,2024-12-10,9,9744.78
BK-000280,Q-2024-000276,1,C007,P0047,2024-12-08,82,416.48
BK-000281,Q-2024-000276,2,C007,P0059,2024-12-06,176,380.07
BK-000282,Q-2024-000277,1,C004,P0098,2024-12-10,1,53183.93
BK-000283,Q-2024-000278,1,C027,P0079,2025-01-09,11,10258.05
BK-000284,Q-2024-000279,1,C016,P0086,2025-01-22,4,53140.12
BK-000285,Q-2024-000281,1,C022,P0120,2025-02-11,31,2928.91
BK-000286,Q-2024-000282,1,C006,P0016,2025-01-06,6,39174.67
BK-000287,Q-2024-000282,2,C006,P0014,2025-01-29,7,41492.82
BK-000288,Q-2024-000284,1,C008,P0112,2024-12-22,31,2516.45
BK-000289,Q-2024-000285,1,C017,P0064,2025-01-13,14,8281.0
BK-000290,Q-2024-000286,2,C009,P0099,2025-01-18,2,45020.35
BK-000291,Q-2024-000287,1,C010,P0022,2025-01-07,2,10333.89
BK-000292,Q-2024-000288,3,C015,P0083,2025-01-08,4,47948.79
BK-000293,Q-2024-000289,2,C014,P0090,2025-01-15,1,36135.58
BK-000294,Q-2024-000290,1,C013,P0029,2025-01-17,10,13293.74
BK-000295,Q-2024-000291,1,C032,P0041,2025-02-01,276,495.32
BK-000296,Q-2024-000292,1,C028,P0042,2024-12-17,730,488.96
BK-000297,Q-2024-000292,2,C028,P0060,2024-12-23,738,554.32
BK-000298,Q-2024-000292,3,C028,P0068,2025-01-20,17,9110.72
BK-000299,Q-2024-000296,2,C011,P0106,2025-01-24,8,1917.95
BK-000300,Q-2024-000297,3,C040,P0026,2024-12-18,19,10573.35
BK-000301,Q-2024-000298,1,C015,P0092,2025-01-31,3,47006.48
BK-000302,Q-2024-000298,2,C015,P0088,2025-01-11,4,42634.18
BK-000303,Q-2024-000301,1,C022,P0112,2024-12-21,7,2447.05
BK-000304,Q-2024-000302,1,C008,P0073,2025-02-01,12,8218.48
BK-000305,Q-2024-000303,1,C025,P0118,2025-01-16,7,2239.69
BK-000306,Q-2024-000305,1,C017,P0056,2025-01-30,382,453.9
BK-000307,Q-2024-000306,2,C040,P0059,2025-01-05,218,320.55
BK-000308,Q-2024-000308,2,C004,P0037,2025-01-17,12,11850.94
BK-000309,Q-2024-000311,1,C014,P0030,2025-02-11,3,9113.85
BK-000310,Q-2024-000312,1,C028,P0001,2025-01-31,4,39265.94
BK-000311,Q-2024-000313,2,C027,P0077,2025-01-18,4,8193.46
BK-000312,Q-2024-000314,1,C028,P0078,2025-01-10,10,8968.21
BK-000313,Q-2024-000316,1,C015,P0083,2025-01-28,1,47928.18
BK-000314,Q-2024-000319,1,C030,P0073,2025-01-07,16,7842.69
BK-000315,Q-2024-000321,1,C003,P0039,2025-02-04,12,11395.57
BK-000316,Q-2024-000321,2,C003,P0027,2025-01-23,1,11120.28
BK-000317,Q-2024-000323,2,C014,P0100,2025-01-25,1,43548.0
BK-000318,Q-2024-000323,3,C014,P0030,2025-01-01,14,9054.37
BK-000319,Q-2024-000324,1,C039,P0050,2025-02-11,276,570.33
BK-000320,Q-2024-000324,2,C039,P0048,2025-02-06,85,530.24
BK-000321,Q-2024-000325,1,C019,P0030,2025-01-02,9,12200.87
BK-000322,Q-2024-000325,2,C019,P0021,2024-12-16,22,12082.17
BK-000323,Q-2024-000326,2,C017,P0005,2025-01-24,1,32026.04
BK-000324,Q-2024-000327,1,C017,P0002,2025-01-19,6,34779.54
BK-000325,Q-2024-000328,1,C001,P0005,2025-01-15,4,33927.26
BK-000326,Q-2024-000328,2,C001,P0015,2025-01-16,7,32576.92
BK-000327,Q-2024-000329,1,C009,P0091,2025-01-22,4,49038.62
BK-000328,Q-2024-000330,2,C014,P0033,2025-01-03,12,10417.73
BK-000329,Q-2024-000331,1,C010,P0040,2024-12-26,20,10731.41
BK-000330,Q-2024-000332,1,C025,P0076,2024-12-22,2,6297.45
BK-000331,Q-2024-000333,1,C033,P0046,2025-01-23,746,395.74
BK-000332,Q-2024-000333,2,C033,P0040,2025-01-25,3,10806.95
BK-000333,Q-2024-000335,1,C003,P0022,2024-12-29,19,10038.33
BK-000334,Q-2024-000336,1,C032,P0055,2025-01-27,466,434.62
BK-000335,Q-2024-000336,2,C032,P0098,2025-01-20,3,56238.6
BK-000336,Q-2024-000339,1,C002,P0066,2025-02-05,17,7037.73
BK-000337,Q-2024-000339,2,C002,P0060,2025-01-21,297,506.65
BK-000338,Q-2024-000339,4,C002,P0071,2025-01-07,12,7499.12
BK-000339,Q-2024-000340,1,C017,P0005,2025-01-04,5,32108.03
BK-000340,Q-2024-000340,3,C017,P0079,2025-01-13,20,7487.75
BK-000341,Q-2024-000341,1,C017,P0001,2025-01-10,2,34365.1
BK-000342,Q-2024-000341,2,C017,P0068,2025-02-17,13,7542.96
BK-000343,Q-2024-000343,1,C015,P0098,2025-02-10,3,48592.85
BK-000344,Q-2024-000343,2,C015,P0072,2025-01-05,15,7413.51
BK-000345,Q-2024-000344,1,C004,P0031,2025-01-12,14,11836.35
BK-000346,Q-2024-000344,2,C004,P0037,2025-01-29,3,11804.12
BK-000347,Q-2024-000345,2,C011,P0080,2025-02-06,11,7650.0
BK-000348,Q-2024-000345,3,C011,P0084,2025-01-07,3,48958.44
BK-000349,Q-2024-000346,1,C033,P0040,2025-01-15,22,11141.03
BK-000350,Q-2024-000349,1,C014,P0094,2025-01-04,2,41191.34
BK-000351,Q-2024-000350,1,C032,P0011,2025-01-02,4,36337.29
BK-000352,Q-2024-000351,1,C007,P0053,2025-01-06,142,402.55
BK-000353,Q-2024-000353,2,C014,P0030,2024-12-30,16,9118.63
BK-000354,Q-2024-000355,1,C005,P0010,2025-01-18,3,29314.32
BK-000355,Q-2024-000357,1,C010,P0035,2024-12-24,13,9538.15
BK-000356,Q-2024-000357,2,C010,P0040,2025-01-03,22,10727.51
BK-000357,Q-2024-000358,1,C001,P0042,2025-02-04,331,402.03
BK-000358,Q-2024-000358,2,C001,P0003,2024-12-23,1,30004.04
BK-000359,Q-2024-000360,1,C021,P0002,2024-12-30,2,30665.19
BK-000360,Q-2024-000360,2,C021,P0107,2025-01-25,37,2099.22
BK-000361,Q-2024-000363,1,C006,P0086,2025-01-03,1,47225.74
BK-000362,Q-2024-000363,2,C006,P0014,2025-02-11,3,41702.73
BK-000363,Q-2024-000365,1,C039,P0015,2024-12-27,3,33005.11
BK-000364,Q-2024-000365,2,C039,P0050,2025-01-03,363,520.09
BK-000365,Q-2025-000366,1,C030,P0073,2025-01-14,13,7869.24
BK-000366,Q-2025-000367,1,C011,P0083,2025-03-10,4,46690.85
BK-000367,Q-2025-000367,2,C011,P0080,2025-01-21,18,8222.38
BK-000368,Q-2025-000367,3,C011,P0106,2025-01-28,19,1915.08
